x,y,z,a,time
10,-31,140,1,2020-08-27T10:29:35.000Z
33,-23,150,1,2020-08-27T10:29:35.000Z
42,-5,160,1,2020-08-27T10:29:35.000Z
32,-25,170,1,2020-08-27T10:29:35.000Z
0,-18,180,1,2020-08-27T10:29:35.000Z
16,-8,190,1,2020-08-27T10:29:35.000Z
12,-12,200,1,2020-08-27T10:29:35.000Z
8,13,210,1,2020-08-27T10:29:35.000Z
3,-24,220,1,2020-08-27T10:29:35.000Z
18,-24,230,1,2020-08-27T10:29:35.000Z
11,-35,240,1,2020-08-27T10:29:35.000Z
20,-18,250,1,2020-08-27T10:29:35.000Z
35,-2,260,1,2020-08-27T10:29:35.000Z
-4,-44,270,1,2020-08-27T10:29:35.000Z
43,-10,280,1,2020-08-27T10:29:35.000Z
14,-3,290,1,2020-08-27T10:29:35.000Z
38,-26,300,1,2020-08-27T10:29:35.000Z
16,-15,310,1,2020-08-27T10:29:35.000Z
45,5,320,1,2020-08-27T10:29:35.000Z
2,-15,330,1,2020-08-27T10:29:35.000Z
16,-13,340,1,2020-08-27T10:29:35.000Z
51,-11,350,1,2020-08-27T10:29:35.000Z
37,-17,360,1,2020-08-27T10:29:35.000Z
18,-16,370,1,2020-08-27T10:29:35.000Z
52,-18,380,1,2020-08-27T10:29:35.000Z
20,-5,390,1,2020-08-27T10:29:35.000Z
24,-14,400,1,2020-08-27T10:29:35.000Z
60,-23,410,1,2020-08-27T10:29:35.000Z
48,-21,420,1,2020-08-27T10:29:35.000Z
53,-1,430,1,2020-08-27T10:29:35.000Z
8,-16,440,1,2020-08-27T10:29:35.000Z
12,-37,450,1,2020-08-27T10:29:35.000Z
28,-25,460,1,2020-08-27T10:29:35.000Z
55,-18,470,1,2020-08-27T10:29:35.000Z
35,-33,480,1,2020-08-27T10:29:35.000Z
27,-24,490,1,2020-08-27T10:29:35.000Z
11,-31,500,1,2020-08-27T10:29:35.000Z
56,-17,510,1,2020-08-27T10:29:35.000Z
47,-15,520,1,2020-08-27T10:29:35.000Z
31,-32,530,1,2020-08-27T10:29:35.000Z
33,-32,540,1,2020-08-27T10:29:35.000Z
41,-25,550,1,2020-08-27T10:29:35.000Z
55,-10,560,1,2020-08-27T10:29:35.000Z
42,-16,570,1,2020-08-27T10:29:35.000Z
51,-11,590,1,2020-08-27T10:29:36.000Z
31,2,580,1,2020-08-27T10:29:36.000Z
59,-7,600,1,2020-08-27T10:29:36.000Z
51,-3,610,1,2020-08-27T10:29:36.000Z
71,-27,620,1,2020-08-27T10:29:36.000Z
48,-41,630,1,2020-08-27T10:29:36.000Z
49,-34,640,1,2020-08-27T10:29:36.000Z
36,-26,650,1,2020-08-27T10:29:36.000Z
31,-49,660,1,2020-08-27T10:29:36.000Z
49,-27,670,1,2020-08-27T10:29:36.000Z
68,-27,680,1,2020-08-27T10:29:36.000Z
33,-14,690,1,2020-08-27T10:29:36.000Z
40,-29,700,1,2020-08-27T10:29:36.000Z
34,-10,710,1,2020-08-27T10:29:36.000Z
42,1,720,1,2020-08-27T10:29:36.000Z
47,-21,730,1,2020-08-27T10:29:36.000Z
53,5,740,1,2020-08-27T10:29:36.000Z
53,-11,750,1,2020-08-27T10:29:36.000Z
43,-2,760,1,2020-08-27T10:29:36.000Z
52,-13,770,1,2020-08-27T10:29:36.000Z
61,-3,780,1,2020-08-27T10:29:36.000Z
64,-25,790,1,2020-08-27T10:29:36.000Z
38,-16,800,1,2020-08-27T10:29:36.000Z
36,-11,810,1,2020-08-27T10:29:36.000Z
39,-5,820,1,2020-08-27T10:29:36.000Z
55,10,830,1,2020-08-27T10:29:36.000Z
55,-14,840,1,2020-08-27T10:29:36.000Z
19,-9,850,1,2020-08-27T10:29:36.000Z
42,-19,860,1,2020-08-27T10:29:36.000Z
55,1,870,1,2020-08-27T10:29:36.000Z
27,-20,880,1,2020-08-27T10:29:36.000Z
37,-26,890,1,2020-08-27T10:29:36.000Z
